iter	Passed	Remaining
443	1202	1505
444	1204	1501
445	1206	1498
446	1209	1495
447	1212	1493
448	1214	1490
449	1216	1486
450	1218	1483
451	1220	1480
452	1223	1476
453	1225	1473
454	1227	1470
455	1229	1466
456	1231	1463
457	1233	1460
458	1236	1457
459	1238	1453
460	1240	1450
461	1242	1447
462	1244	1443
463	1247	1440
464	1249	1437
465	1251	1434
466	1254	1431
467	1256	1428
468	1258	1424
469	1260	1421
470	1262	1418
471	1265	1415
472	1267	1412
473	1269	1408
474	1272	1405
475	1274	1402
476	1276	1399
477	1278	1396
478	1280	1393
479	1283	1390
480	1285	1387
481	1288	1384
482	1290	1381
483	1292	1378
484	1294	1374
485	1296	1371
486	1299	1368
487	1301	1365
488	1303	1361
489	1305	1358
490	1307	1355
491	1309	1352
492	1312	1349
493	1314	1346
494	1316	1343
495	1319	1340
496	1321	1337
497	1323	1334
498	1325	1330
499	1327	1327
500	1329	1324
501	1331	1321
502	1334	1318
503	1336	1315
504	1338	1312
505	1341	1309
506	1343	1306
507	1345	1303
508	1348	1300
509	1350	1297
510	1352	1294
511	1355	1291
512	1357	1288
513	1359	1285
514	1361	1282
515	1364	1279
516	1366	1276
517	1368	1273
518	1370	1270
519	1373	1267
520	1375	1264
521	1378	1262
522	1380	1259
523	1383	1256
524	1385	1253
525	1387	1250
526	1390	1247
527	1392	1244
528	1394	1241
529	1396	1238
530	1398	1235
531	1401	1232
532	1403	1229
533	1405	1226
534	1408	1224
535	1410	1221
536	1412	1218
537	1415	1215
538	1417	1212
539	1419	1209
540	1421	1206
541	1424	1203
542	1426	1200
543	1428	1197
544	1430	1194
545	1433	1191
546	1435	1188
547	1437	1185
548	1439	1182
549	1442	1179
550	1444	1177
551	1447	1174
552	1449	1171
553	1451	1168
554	1454	1166
555	1456	1163
556	1459	1160
557	1461	1157
558	1463	1154
559	1466	1152
560	1468	1149
561	1470	1146
562	1472	1143
563	1475	1141
564	1478	1138
565	1480	1135
566	1482	1132
567	1484	1129
568	1487	1126
569	1489	1123
570	1491	1120
571	1493	1117
572	1496	1114
573	1498	1111
574	1500	1109
575	1502	1106
576	1505	1103
577	1507	1100
578	1509	1097
579	1511	1094
580	1514	1091
581	1516	1089
582	1519	1086
583	1521	1083
584	1523	1080
585	1525	1077
586	1528	1075
587	1530	1072
588	1532	1069
589	1534	1066
590	1536	1063
591	1538	1060
592	1541	1057
593	1543	1054
594	1545	1052
595	1547	1049
596	1550	1046
597	1552	1043
598	1554	1040
599	1556	1037
600	1558	1034
601	1561	1032
602	1563	1029
603	1565	1026
604	1568	1023
605	1570	1021
606	1573	1018
607	1575	1015
608	1577	1012
609	1579	1009
610	1582	1007
611	1584	1004
612	1586	1001
613	1588	998
614	1590	995
615	1593	993
616	1596	991
617	1599	988
618	1602	986
619	1605	984
620	1608	981
621	1611	979
622	1614	976
623	1617	974
624	1619	971
625	1621	968
626	1623	965
627	1625	963
628	1628	960
629	1630	957
630	1632	954
631	1635	952
632	1637	949
633	1639	946
634	1641	943
635	1643	940
636	1646	938
637	1648	935
638	1650	932
639	1653	929
640	1655	927
641	1658	924
642	1660	921
643	1662	918
644	1664	916
645	1666	913
646	1669	910
647	1671	908
648	1673	905
649	1675	902
650	1678	899
651	1680	896
652	1682	894
653	1684	891
654	1687	888
655	1689	885
656	1691	882
657	1694	880
658	1696	877
659	1698	875
660	1700	872
661	1703	869
662	1705	866
663	1707	863
664	1709	861
665	1711	858
666	1713	855
667	1715	852
668	1718	850
669	1720	847
670	1723	844
671	1725	842
672	1727	839
673	1729	836
674	1732	834
675	1734	831
676	1736	828
677	1739	825
678	1741	823
679	1744	820
680	1747	818
681	1749	815
682	1751	812
683	1754	810
684	1756	807
685	1759	805
686	1761	802
687	1763	799
688	1766	797
689	1768	794
690	1771	792
691	1774	789
692	1776	786
693	1779	784
694	1781	781
695	1785	779
696	1787	777
697	1790	774
698	1792	771
699	1796	769
700	1798	767
701	1801	764
702	1804	762
703	1807	759
704	1809	757
705	1812	754
706	1815	752
707	1817	749
708	1820	747
709	1822	744
710	1825	741
711	1827	739
712	1829	736
713	1832	733
714	1834	731
715	1836	728
716	1838	725
717	1840	722
718	1842	720
719	1845	717
720	1847	714
721	1849	712
722	1851	709
723	1854	706
724	1856	704
725	1858	701
726	1860	698
727	1862	695
728	1865	693
729	1867	690
730	1870	688
731	1873	686
732	1877	683
733	1880	681
734	1883	678
735	1885	676
736	1888	673
737	1890	671
738	1892	668
739	1895	665
740	1897	663
741	1900	660
742	1902	657
743	1904	655
744	1906	652
745	1908	649
746	1910	647
747	1913	644
748	1915	641
749	1918	639
750	1919	636
751	1922	634
752	1925	631
753	1927	628
754	1929	626
755	1931	623
756	1933	620
757	1936	618
758	1939	615
759	1942	613
760	1944	610
761	1947	608
762	1949	605
763	1951	602
764	1954	600
765	1957	598
766	1961	595
767	1964	593
768	1967	590
769	1969	588
770	1971	585
771	1974	583
772	1976	580
773	1978	577
774	1981	575
775	1983	572
776	1986	569
777	1988	567
778	1990	564
779	1992	562
780	1994	559
781	1996	556
782	1999	554
783	2001	551
784	2004	548
785	2006	546
786	2008	543
787	2010	540
788	2013	538
789	2015	535
790	2018	533
791	2020	530
792	2023	528
793	2025	525
794	2027	522
795	2029	520
796	2032	517
797	2034	515
798	2036	512
799	2038	509
800	2041	507
801	2043	504
802	2046	501
803	2048	499
804	2051	496
805	2053	494
806	2056	491
807	2059	489
808	2062	486
809	2066	484
810	2069	482
811	2072	479
812	2075	477
813	2078	474
814	2080	472
815	2082	469
816	2085	467
817	2087	464
818	2089	461
819	2091	459
820	2094	456
821	2096	453
822	2098	451
823	2100	448
824	2102	446
825	2105	443
826	2107	440
827	2110	438
828	2112	435
829	2114	433
830	2116	430
831	2118	427
832	2121	425
833	2123	422
834	2126	420
835	2128	417
836	2130	414
837	2132	412
838	2135	409
839	2137	407
840	2139	404
841	2141	401
842	2144	399
843	2146	396
844	2148	394
845	2150	391
846	2153	388
847	2155	386
848	2157	383
849	2159	381
850	2161	378
851	2164	375
852	2166	373
853	2168	370
854	2170	368
855	2173	365
856	2175	363
857	2177	360
858	2179	357
859	2182	355
860	2184	352
861	2186	350
862	2188	347
863	2191	344
864	2193	342
865	2195	339
866	2197	337
867	2199	334
868	2202	332
869	2204	329
870	2207	326
871	2209	324
872	2211	321
873	2213	319
874	2215	316
875	2217	313
876	2220	311
877	2223	308
878	2225	306
879	2228	303
880	2231	301
881	2234	298
882	2236	296
883	2239	293
884	2242	291
885	2244	288
886	2247	286
887	2250	283
888	2254	281
889	2256	278
890	2259	276
891	2262	273
892	2267	271
893	2270	269
894	2273	266
895	2275	264
896	2278	261
897	2280	259
898	2283	256
899	2286	254
900	2289	251
901	2291	248
902	2294	246
903	2296	243
904	2299	241
905	2301	238
906	2304	236
907	2306	233
908	2308	231
909	2310	228
910	2313	225
911	2315	223
912	2317	220
913	2319	218
914	2322	215
915	2324	213
916	2326	210
917	2329	208
918	2332	205
919	2335	203
920	2338	200
921	2341	198
922	2344	195
923	2346	193
924	2349	190
925	2352	188
926	2357	185
927	2360	183
928	2362	180
929	2364	178
930	2367	175
931	2369	172
932	2371	170
933	2374	167
934	2376	165
935	2379	162
936	2381	160
937	2384	157
938	2386	155
939	2388	152
940	2390	149
941	2392	147
942	2395	144
943	2397	142
944	2399	139
945	2401	137
946	2404	134
947	2406	132
948	2408	129
949	2411	126
950	2413	124
951	2415	121
952	2417	119
953	2420	116
954	2422	114
955	2424	111
956	2427	109
957	2429	106
958	2431	103
959	2433	101
960	2435	98
961	2437	96
962	2440	93
963	2442	91
964	2444	88
965	2446	86
966	2449	83
967	2452	81
968	2455	78
969	2458	76
970	2462	73
971	2465	71
972	2467	68
973	2470	65
974	2473	63
975	2475	60
976	2478	58
977	2480	55
978	2483	53
979	2486	50
980	2488	48
981	2491	45
982	2494	43
983	2497	40
984	2499	38
985	2503	35
986	2505	32
987	2507	30
988	2509	27
989	2512	25
990	2514	22
991	2516	20
992	2519	17
993	2521	15
994	2523	12
995	2526	10
996	2528	7
997	2530	5
998	2532	2
999	2535	0
