iter	RMSE
167	131239.5374
168	131092.0849
169	130739.3065
170	130649.9267
171	130429.9388
172	130329.4365
173	130212.8684
174	130014.1339
175	129796.5508
176	129725.5404
177	129632.9719
178	129575.5924
179	129472.2457
180	129332.1011
181	129244.9979
182	129230.0691
183	129120.4422
184	129006.6649
185	128980.0512
186	128860.8532
187	128767.7124
188	128605.6038
189	128537.9912
190	128455.2751
191	128213.2494
192	128132.8383
193	127733.9798
194	127630.4156
195	127537.137
196	127444.9318
197	127348.076
198	127273.5509
199	127184.1215
200	126989.5917
201	126893.7721
202	126779.3059
203	126629.6101
204	126543.4951
205	126474.4968
206	126168.6081
207	125895.9377
208	125616.2755
209	125377.0587
210	125333.6871
211	125250.4368
212	125183.5655
213	124925.7235
214	124847.0919
215	124756.9532
216	124755.0127
217	124691.267
218	124613.1847
219	124564.277
220	124482.178
221	124407.1232
222	124265.0472
223	124125.8218
224	124053.3308
225	123980.8921
226	123910.7426
227	123648.4716
228	123496.5265
229	123376.6487
230	123305.1026
231	123246.68
232	123178.6773
233	123100.8066
234	123032.28
235	122950.1652
236	122886.3377
237	122824.4533
238	122753.2704
239	122669.0206
240	122603.5169
241	122554.7266
242	122491.69
243	122452.9551
244	122385.7592
245	121949.5033
246	121884.6916
247	121830.3862
248	121691.7299
249	121638.7162
250	121578.8004
251	121451.7966
252	121397.2829
253	121339.999
254	121288.7917
255	121239.1229
256	121112.808
257	121066.8081
258	120581.0314
259	120462.0176
260	120420.5035
261	120044.7221
262	119997.1726
263	119941.5759
264	119813.9636
265	119767.7951
266	119722.9949
267	119689.5441
268	119651.5991
269	119556.3087
270	119512.7274
271	119414.9076
272	119301.1912
273	119240.8256
274	119204.8092
275	119187.4491
276	119129.4638
277	118979.1559
278	118944.1598
279	118522.8716
280	118488.7387
281	118371.1906
282	118331.4996
283	118190.5364
284	118124.1416
285	118091.6439
286	118036.5333
287	117973.1127
288	117864.1151
289	117826.8274
290	117492.1276
291	117385.8655
292	117275.4509
293	117202.3091
294	117166.5885
295	117131.925
296	117103.5697
297	117070.5356
298	116757.4523
299	116730.3028
300	116640.765
301	116609.1014
302	116557.1504
303	116459.6742
304	116414.5335
305	116299.5506
306	116247.7399
307	116163.8082
308	116096.1618
309	116004.8878
310	115908.946
311	115869.7861
312	115597.4011
313	115567.6026
314	115538.678
315	115510.6
316	115480.6773
317	115381.4762
318	115044.4832
319	115021.1809
320	114728.586
321	114450.1694
322	114344.2313
323	114187.2171
324	114164.2206
325	114087.462
326	114060.3612
327	113996.3653
328	113970.0658
329	113948.6262
330	113702.405
331	113556.0835
332	113530.9235
333	113506.5069
334	113402.6595
335	113359.1734
336	113312.4685
337	113077.9177
338	112972.6789
339	112949.6317
340	112930.4543
341	112747.329
342	112536.844
343	112427.5309
344	112126.0275
345	112050.5373
346	112032.0032
347	112014.0404
348	111943.416
349	111925.9767
350	111909.0699
351	111603.8251
352	111327.9259
353	111311.5476
354	111267.831
355	111102.7729
356	110885.5439
357	110686.141
358	110647.0585
359	110609.5929
360	110399.0753
361	110328.2389
362	110252.2013
363	110182.3364
364	110140.2087
365	109871.3445
366	109733.8272
367	109667.9485
368	109548.9564
369	109518.5289
370	109392.8065
371	109286.3647
372	109118.0979
373	109089.1709
374	108900.6878
375	108872.9998
376	108839.4758
377	108585.5109
378	108343.7534
379	108279.4874
380	108262.0588
381	108035.4049
382	108018.4743
383	107907.4474
384	107815.7522
385	107609.9973
386	107418.8242
387	107358.1072
388	107165.8354
389	106981.2587
390	106950.3895
391	106926.5153
392	106842.5389
393	106805.4537
394	106726.9393
395	106647.8597
396	106619.3053
397	106591.8811
398	106509.0248
399	106300.6499
400	106285.4587
401	106168.1966
402	105964.8184
403	105878.5223
404	105711.4982
405	105529.3508
406	105381.0655
407	105366.1783
408	105206.5105
409	105100.7747
410	105049.0514
411	104864.9618
412	104815.1403
413	104767.2105
414	104721.0848
415	104707.0409
416	104693.4239
417	104668.4439
418	104624.1087
419	104545.6256
420	104502.8878
421	104489.6419
422	104476.7933
423	104435.6587
424	104314.163
425	104227.2422
426	104112.2815
427	104099.5421
428	103914.0787
429	103745.5634
430	103726.4321
431	103549.7795
432	103454.6778
433	103285.1675
434	103046.7203
435	102876.5958
436	102848.3573
437	102761.0065
438	102536.2382
439	102469.6268
440	102259.238
441	102109.3443
442	101975.4299
443	101957.2068
444	101930.8566
445	101918.3318
446	101843.8089
447	101687.0586
448	101585.7622
449	101518.1648
450	101415.2443
451	101346.3973
452	101257.293
453	101102.9294
454	100977.1775
455	100855.9223
456	100728.9994
457	100615.1386
458	100592.5697
459	100473.7468
460	100452.0427
461	100316.5368
462	100175.9489
463	100068.4992
464	99966.72677
465	99928.71267
466	99892.10039
467	99855.84859
468	99820.94935
469	99743.24578
470	99589.64945
471	99398.00055
472	99237.54187
473	99093.38957
474	98992.94356
475	98901.37313
476	98867.43855
477	98727.75051
478	98633.5708
479	98560.32896
480	98427.94616
481	98403.85084
482	98231.29115
483	98193.01246
484	98127.09161
485	98016.29826
486	97972.50271
487	97863.72117
488	97851.3697
489	97731.57165
490	97727.25798
491	97717.86824
492	97709.20696
493	97627.61365
494	97619.11981
495	97530.43303
496	97498.80642
497	97495.59224
498	97491.95852
499	97365.22463
500	97298.45259
501	97176.25018
502	97116.20543
503	97013.58146
504	96983.59451
505	96953.47824
506	96893.18703
507	96761.40064
508	96650.4669
509	96640.22438
510	96533.74837
511	96499.34927
512	96386.02447
513	96290.83984
514	96228.94528
515	96142.11183
516	96053.35095
517	95935.81568
518	95880.9091
519	95790.48275
520	95695.23053
521	95613.23507
522	95506.41361
523	95424.31142
524	95370.96678
525	95317.08285
526	95196.61524
527	95065.50483
528	94975.39665
529	94949.08253
530	94891.87073
531	94884.84215
532	94861.2093
533	94854.39009
534	94801.94759
535	94681.05772
536	94594.40718
537	94570.34249
538	94451.47945
539	94359.14215
540	94234.26523
541	94226.68857
542	94130.74873
543	94009.25436
544	93930.08517
545	93846.86726
546	93801.99944
547	93796.16973
548	93735.99769
549	93731.35301
550	93653.75917
551	93549.40545
552	93497.62026
553	93378.37277
554	93298.64629
555	93222.02964
556	93152.59977
557	93102.32362
558	93096.03901
559	93088.40144
560	92991.54176
561	92988.67781
562	92968.74207
563	92921.20441
564	92853.21161
565	92743.39079
566	92633.80543
567	92627.71637
568	92603.04234
569	92494.62134
570	92488.70322
571	92413.09941
572	92342.13663
573	92304.03848
574	92231.75752
575	92187.46131
576	92113.97322
577	92044.74508
578	91958.39252
579	91891.4243
580	91858.93903
581	91794.23024
582	91717.66244
583	91682.99748
584	91585.67092
585	91522.77859
586	91428.20048
587	91415.77145
588	91349.1023
589	91342.89436
590	91319.80054
591	91315.76267
592	91207.96269
593	91077.95684
594	90998.90579
595	90930.7879
596	90828.83684
597	90778.18441
598	90755.56857
599	90694.78978
600	90622.12515
601	90531.89822
602	90443.38469
603	90423.81162
604	90365.1199
605	90318.78847
606	90199.91489
607	90172.0368
608	90104.68035
609	90098.15469
610	90055.14048
611	90050.20271
612	89993.83461
613	89940.24543
614	89853.11232
615	89770.47796
616	89679.03948
617	89651.54532
618	89628.79346
619	89603.22428
620	89537.83024
621	89396.53119
622	89366.91061
623	89356.08415
624	89337.9561
625	89307.03434
626	89290.11768
627	89238.27648
628	89189.92137
629	89108.70157
630	89098.23308
631	89056.11916
632	89038.91653
633	89029.36277
634	88944.49321
635	88934.51822
636	88876.43508
637	88848.60797
638	88755.77856
639	88743.23683
640	88703.64482
641	88630.84178
642	88618.3537
643	88585.0708
644	88557.42967
645	88476.7526
646	88413.87025
647	88349.45126
648	88339.813
649	88277.20732
650	88228.93708
651	88182.32948
652	88161.95272
653	88123.64178
654	88095.53724
655	88073.84415
656	88031.40723
657	87954.23613
658	87942.63291
659	87881.21023
660	87822.26977
661	87785.45403
662	87776.5067
663	87733.23586
664	87705.51501
665	87696.24788
666	87669.38954
667	87557.93995
668	87501.32437
669	87475.32501
670	87466.33815
671	87377.87702
672	87347.10838
673	87331.13356
674	87173.19807
675	87157.83769
676	87149.62364
677	87134.96867
678	87099.19059
679	87026.05522
680	87008.75291
681	86961.23511
682	86935.93926
683	86921.83595
684	86831.11544
685	86814.83959
686	86786.21501
687	86773.48208
688	86748.93523
689	86658.72322
690	86596.53826
691	86549.443
692	86531.56552
693	86515.59099
694	86508.42988
695	86355.25444
696	86295.5268
697	86247.60172
698	86201.29057
699	86146.48318
700	86126.28713
701	86090.04492
702	86070.57045
703	85991.59876
704	85946.26852
705	85893.56571
706	85815.3914
707	85739.34304
708	85716.19953
709	85671.64461
710	85590.88235
711	85430.09252
712	85353.41268
713	85301.63118
714	85267.53237
715	85245.13972
716	85223.43139
717	85170.70044
718	85142.58953
719	85134.86871
720	85062.11977
721	84984.68902
722	84921.58615
723	84889.72121
724	84863.39846
725	84842.7333
726	84822.31382
727	84779.79093
728	84665.08242
729	84618.95268
730	84572.53153
731	84565.37751
732	84500.57413
733	84358.26474
734	84341.37071
735	84333.9832
736	84303.46616
737	84260.46903
738	84218.50191
739	84199.23582
740	84170.23658
741	84128.3679
742	83995.05948
743	83898.10709
744	83848.41109
745	83770.11339
746	83759.62679
747	83682.40206
748	83631.53151
749	83535.68116
750	83455.28814
751	83392.51946
752	83385.62146
753	83358.37229
754	83274.54156
755	83226.37791
756	83154.70768
757	83126.98256
758	83089.41361
759	83024.92006
760	82942.25603
761	82816.80975
762	82753.89008
763	82674.86022
764	82616.23923
765	82590.64042
766	82530.55328
767	82458.96469
768	82430.93598
769	82381.06174
770	82355.37261
771	82347.2576
772	82261.64927
773	82198.00303
774	82131.82717
775	82084.93247
776	82065.9258
777	82007.86827
778	81975.76253
779	81907.07782
780	81828.56613
781	81820.59099
782	81751.14523
783	81676.74841
784	81597.71955
785	81580.46345
786	81536.12509
787	81506.37285
788	81461.71664
789	81411.31871
790	81359.46038
791	81307.0493
792	81245.42796
793	81190.7347
794	81117.58693
795	81062.59076
796	80995.81089
797	80956.73558
798	80914.47746
799	80855.243
800	80818.19258
801	80805.26974
802	80734.95117
803	80701.33865
804	80685.76017
805	80606.46649
806	80526.7692
807	80479.34723
808	80408.42132
809	80337.05322
810	80267.49017
811	80219.97805
812	80204.99637
813	80079.24197
814	80069.95911
815	80032.36025
816	80017.66294
817	79935.67847
818	79907.56318
819	79851.55274
820	79779.40576
821	79765.67945
822	79751.07893
823	79724.63751
824	79684.11851
825	79634.99375
826	79588.37265
827	79543.65407
828	79534.75301
829	79528.4946
830	79515.70811
831	79509.96548
832	79503.99951
833	79425.89928
834	79356.34354
835	79290.78426
836	79223.03811
837	79183.83665
838	79178.06426
839	79123.49505
840	79086.32005
841	78972.9933
842	78957.16447
843	78926.88608
844	78861.76358
845	78808.72945
846	78741.7289
847	78736.41738
848	78629.41056
849	78583.29703
850	78548.41195
851	78523.00372
852	78495.73212
853	78459.35257
854	78422.52207
855	78348.73492
856	78285.87353
857	78223.24747
858	78218.19029
859	78174.03099
860	78149.38127
861	78092.75766
862	78037.40754
863	78006.69435
864	77965.64001
865	77929.89427
866	77875.9767
867	77837.3711
868	77776.39953
869	77711.90242
870	77676.47617
871	77627.84964
872	77593.40285
873	77538.4768
874	77525.57149
875	77473.50741
876	77460.33131
877	77439.78895
878	77406.60743
879	77351.23732
880	77317.56816
881	77310.07244
882	77261.733
883	77247.76169
884	77234.89133
885	77174.93562
886	77167.36491
887	77137.83996
888	77125.60172
889	77088.63866
890	77069.05615
891	77043.18653
892	77013.78106
893	76933.51824
894	76905.10427
895	76894.1362
896	76825.19435
897	76794.71978
898	76743.36791
899	76706.33973
900	76661.77936
901	76602.00833
902	76551.85117
903	76525.54246
904	76499.00222
905	76473.28811
906	76414.91389
907	76395.10494
908	76365.73033
909	76320.35889
910	76278.41604
911	76235.42823
912	76173.58715
913	76116.67088
914	76105.56216
915	76094.58188
916	76029.00681
917	76021.51405
918	75974.66784
919	75947.51997
920	75924.96747
921	75905.98905
922	75872.76888
923	75863.37496
924	75847.44839
925	75824.82253
926	75778.55336
927	75764.82352
928	75732.90932
929	75674.32256
930	75652.76585
931	75644.63204
932	75599.05014
933	75578.71076
934	75568.06781
935	75521.33291
936	75502.73666
937	75499.55282
938	75496.47793
939	75493.50764
940	75483.81734
941	75429.85349
942	75376.12405
943	75339.4083
944	75285.03115
945	75235.22945
946	75215.83441
947	75190.9071
948	75160.63654
949	75143.46947
950	75131.31078
951	75122.43991
952	75059.96353
953	75010.82105
954	74985.67115
955	74925.92377
956	74881.29151
957	74878.44055
958	74871.99645
959	74848.38583
960	74757.45892
961	74754.80868
962	74711.45297
963	74702.67287
964	74643.29361
965	74590.51599
966	74479.16663
967	74429.05017
968	74426.44404
969	74422.1049
970	74405.88631
971	74397.89228
972	74395.58493
973	74362.3383
974	74355.02924
975	74297.27119
976	74259.45898
977	74239.25992
978	74202.46835
979	74146.62294
980	74102.57368
981	74079.14218
982	74029.82239
983	74007.10424
984	73997.98235
985	73979.50387
986	73958.3614
987	73929.15181
988	73893.82764
989	73852.99264
990	73805.40091
991	73787.29216
992	73767.39371
993	73730.50869
994	73664.71866
995	73642.6328
996	73617.40462
997	73565.04632
998	73511.80462
999	73502.63969
